,reactions,size,DM_C80aPHA,biomass,fva_min,fva_max
0,"{'ME2', 'PDHcr'}",2,8.813831331444533e-10,0.40049844098908144,0.0,0.022121088435383518
1,"{'ACONTb', 'ACOAD24f'}",2,0.0,0.3948266755026473,0.0,0.02247552447551697
2,"{'ACOAD24f', 'ACOAD5f'}",2,0.0,0.41780469358002625,0.0,0.022616564417160978
3,"{'MDH', 'NDPK3'}",2,0.0,0.3995314860775473,0.0,0.02291192052980262
4,"{'ACONTb', 'ACOAD5f'}",2,0.0,0.39482667550272577,0.0,0.022475524475528974
5,"{'MDH', 'ACOAD24f'}",2,0.0,0.400513070938908,0.0,0.02291192052982055
6,"{'PPM', 'NDPK3'}",2,0.0,0.4168021860279167,0.0,0.022616564417183904
7,"{'MDH', 'ACOAD5f'}",2,0.0,0.400513070938858,0.0,0.02291192052980162
8,"{'MCITS', 'CYTDH'}",2,0.0,0.4178046935800251,0.0,0.022616564417158008
9,"{'LSERDHr', 'GNK'}",2,0.0,0.41780469358006256,0.0,0.022616564417172608
